Complexity,Loss,Equation
1,1.0669727e8,"2407.2795"
2,1.0669725e8,"square(-49.10198)"
3,9.348962e7,"x2 * 9420.016"
4,8.701731e7,"square(x1) / x0"
5,4.774567e7,"x1 / (0.93246466 - x2)"
6,4.763637e7,"x1 / (0.9805214 - sqrt(x2))"
7,1.6819488e7,"((6137.5312 * x1) * x2) / x0"
8,3.318362e6,"square(x1 * x2) / (0.12394458 * x0)"
9,487342.4,"square(x1 * square(x2)) / (0.09511755 * x0)"
10,5787.9653,"square(x1) / (((3.2482228 + x0) / x2) - x0)"
12,4428.5522,"0.9850317 * (square(x1) / (((x0 + 3.0491555) / x2) - x0))"
14,1680.6715,"1.0450872 * (square(x1 - 28.702826) / (((x0 - -3.0549946) / x2) - x0))"
15,1658.4641,"1.0450872 * (square(x1 - sqrt(834.0329)) / (((x0 - -3.0549946) / x2) - x0))"
16,1652.9388,"((square(x1 - 28.702826) + -117.41529) / (((x0 - -3.0549946) / x2) - x0)) * 1.0450872"
17,1623.9137,"1.0450872 * ((square(x1 - sqrt(834.0329)) + x0) / (((x0 - -3.0549946) / x2) - x0))"
18,1617.9202,"((square(x1 - (28.702826 - -0.26250398)) + x0) / (((x0 - -3.0549946) / x2) - x0)) * 1.0450872"
19,1427.8029,"1.0450872 * (square(sqrt(868.73895 + (x0 * -0.23477182)) - x1) / (((x0 + 3.0491555) / x2) - x0))"
20,1383.9156,"1.0450872 * ((square(x1 - sqrt(850.0595)) + square(x0 * -0.077414595)) / (((x0 - -3.0549946) / x2) - x0))"
