Complexity,Loss,Equation
1,1.0669735e8,"2398.6707"
2,1.0669727e8,"square(-49.044773)"
3,9.348971e7,"x2 * 9434.704"
4,8.701731e7,"square(x1) / x0"
5,5.1780824e7,"x1 / (x2 + -0.8633254)"
6,4.87879e7,"square((x1 * x2) * -0.19534492)"
7,2.7080258e7,"square(x2 * x1) / sqrt(x0)"
8,3.3368238e6,"square(x2 * (x1 / -0.35436678)) / x0"
9,507216.56,"square((x1 / 0.31050697) * square(x2)) / x0"
10,8517.421,"square(x1) / (((x0 + 3.318951) / x2) - x0)"
11,5805.076,"square(x1) / (((x0 + square(-1.80127)) / x2) - x0)"
12,3066.2778,"square(-8.1993685 + x1) / (((x0 - -3.0324502) / x2) - x0)"
14,2890.295,"(square(8.561473 - x1) - 882.3477) / (((x0 - -3.0324502) / x2) - x0)"
16,2491.5918,"(square(8.561473 - x1) - 882.3477) / ((((x0 - -3.0324502) / x2) - x0) * 0.9981547)"
18,2432.0056,"((square(8.561473 - x1) - 882.3477) - 882.3477) / ((((x0 - -3.0324502) / x2) - x0) * 0.9981547)"
19,2411.4492,"(square((8.561473 + x2) - x1) - 882.3477) / ((((x0 - -3.0324502) / x2) - x0) * square(0.9981547))"
20,2330.5903,"(((square(8.561473 - x1) + x0) - 882.3477) - 882.3477) / ((((x0 - -3.0324502) / x2) - x0) * 0.9981547)"
