Complexity,Loss,Equation
1,2.4701131e8,"4562.6445"
2,2.4700706e8,"square(68.06269)"
3,1.8435131e8,"18.19129 * x1"
4,1.8358354e8,"square(0.13576795 * x1)"
5,1.1223919e8,"(x2 * 49.658936) * x1"
6,1.0986657e8,"square((x1 * -0.2544396) * x2)"
7,1.0956382e8,"((x2 * 49.658936) * x1) - x0"
8,5.5244204e7,"238.70103 / ((sqrt(x0) / x1) / x2)"
9,1.4373043e7,"square(x2 / ((-5.7868247 + sqrt(x0)) / x1))"
10,1.2955537e7,"square(sqrt(x2) / ((-5.9930367 + sqrt(x0)) / x1))"
11,9.842667e6,"square(-0.8742257 / ((-5.7868247 + sqrt(x0)) / x1)) * x2"
12,9.04283e6,"square(x2 / ((-5.9656816 + sqrt(x0)) / x1)) / sqrt(x2)"
13,8.1033495e6,"square(x2 / (((sqrt(x0) + (-5.9656816 - x2)) + 1.0144123) / x1))"
14,7.3608585e6,"square(x2 / (((sqrt(x0) + (-5.9656816 - square(x2))) + 0.8049121) / x1))"
15,6.533253e6,"square(x2 / (((sqrt(x0) + (-5.9656816 - x2)) + 1.0144123) / (x1 + x0)))"
16,5.4422075e6,"square(x2 / (((sqrt(x0) + (-5.9656816 - x2)) + 0.8049121) / x1)) / sqrt(x2)"
18,5.1689385e6,"square(x2 / (((sqrt(x0) + (-5.9656816 - square(x2))) + 0.8049121) / (x1 + x0))) + x1"
20,4.8515405e6,"square(x2 / (((sqrt(x0) + (-5.9656816 - square(x2))) + 0.8049121) / (x1 + (x0 * x2)))) + x1"
