,K,y_mean,p,variance
0,5,1,0.001,0.0002419852843168054
1,5,1,0.05,1.7659275664980797e-05
2,5,1,0.1,7.520966915635225e-05
3,5,1,0.2,0.00013802024211265624
4,5,1,0.3,0.00044121320690368644
5,5,1,0.5,0.0006542549422114092
6,5,1,0.7,0.0012886690753209325
7,5,1,0.8,0.001452677551987473
8,5,1,0.9,0.0012119409892527697
9,5,10,0.001,0.008863425767596156
10,5,10,0.05,0.007449597234267772
11,5,10,0.1,7.441613205665919e-05
12,5,10,0.2,3.965017983383522e-05
13,5,10,0.3,0.00014082855856853473
14,5,10,0.5,9.947713771863712e-05
15,5,10,0.7,0.00013896567289618483
16,5,10,0.8,0.00025556795469868204
17,5,10,0.9,0.0009243003278512384
18,5,100,0.001,1.2443322879913834
19,5,100,0.05,56.85961701463189
20,5,100,0.1,104.96365717462491
21,5,100,0.2,186.29106722719268
22,5,100,0.3,249.6356288767821
23,5,100,0.5,312.22210599546503
24,5,100,0.7,238.17120710427776
25,5,100,0.8,128.54267378566354
26,5,100,0.9,12.87750384935814
27,5,1000,0.001,71.51411642421182
28,5,1000,0.05,3535.5999703658185
29,5,1000,0.1,7033.91465444168
30,5,1000,0.2,14012.406459803724
31,5,1000,0.3,20807.307821585237
32,5,1000,0.5,34532.148929020965
33,5,1000,0.7,48082.13921553663
34,5,1000,0.8,55005.52769042678
35,5,1000,0.9,61001.81754702683
36,10,1,0.001,0.00019705721887995254
37,10,1,0.05,0.00027962933118122875
38,10,1,0.1,0.0001935440455091438
39,10,1,0.2,0.00034931505329618994
40,10,1,0.3,0.00035260324775224146
41,10,1,0.5,0.000664991802129882
42,10,1,0.7,0.0018589741528101385
43,10,1,0.8,0.002773540806668579
44,10,1,0.9,0.0048716455330802795
45,10,10,0.001,0.006376212791043324
46,10,10,0.05,0.043269907952409065
47,10,10,0.1,0.006213235102185666
48,10,10,0.2,0.0001629527285459432
49,10,10,0.3,0.00025640433932481776
50,10,10,0.5,0.0005829236615014132
51,10,10,0.7,0.0010847835257785403
52,10,10,0.8,0.0006677315457899333
53,10,10,0.9,0.001007849369281709
54,10,100,0.001,0.7199322214733098
55,10,100,0.05,36.75042956501663
56,10,100,0.1,70.40125123631081
57,10,100,0.2,134.73233917912927
58,10,100,0.3,195.32951782218188
59,10,100,0.5,298.82220253853563
60,10,100,0.7,332.95815513130805
61,10,100,0.8,268.69939567877975
62,10,100,0.9,102.22398918587245
63,10,1000,0.001,77.5951896995267
64,10,1000,0.05,4299.919273804324
65,10,1000,0.1,8864.725750856667
66,10,1000,0.2,18779.609819103167
67,10,1000,0.3,29732.492971442818
68,10,1000,0.5,53685.95456275865
69,10,1000,0.7,80087.92025452411
70,10,1000,0.8,93384.23822771221
71,10,1000,0.9,105928.12643528351
72,100,1,0.001,6.933163633426897e-05
73,100,1,0.05,0.0009981932158640732
74,100,1,0.1,0.0018576832812198147
75,100,1,0.2,0.004043071635494354
76,100,1,0.3,0.005515467695109205
77,100,1,0.5,0.010747538714171834
78,100,1,0.7,0.020133845756289744
79,100,1,0.8,0.02753830127510469
80,100,1,0.9,0.046842292359112005
81,100,10,0.001,0.0009847452164786152
82,100,10,0.05,0.036781977678460476
83,100,10,0.1,0.06056970187514637
84,100,10,0.2,0.07932751165870161
85,100,10,0.3,0.07080817037742516
86,100,10,0.5,0.023904594593203148
87,100,10,0.7,0.018520257138695474
88,100,10,0.8,0.02916541783829418
89,100,10,0.9,0.04733424066834632
90,100,100,0.001,0.09676316106817212
91,100,100,0.05,4.8530522061841
92,100,100,0.1,9.990421855604447
93,100,100,0.2,21.684208550970293
94,100,100,0.3,35.557234865696266
95,100,100,0.5,73.71718160070233
96,100,100,0.7,144.5877437760814
97,100,100,0.8,211.59636177732264
98,100,100,0.9,319.3999947238372
99,100,1000,0.001,9.831700939510432
100,100,1000,0.05,512.8229733776768
101,100,1000,0.1,1076.5305897759242
102,100,1000,0.2,2409.735504854393
103,100,1000,0.3,4085.1679989558756
104,100,1000,0.5,9244.896952292149
105,100,1000,0.7,20940.80765633154
106,100,1000,0.8,34284.24047344066
107,100,1000,0.9,67947.17632260358
108,500,1,0.001,0.00012319151922117184
109,500,1,0.05,0.004443736245125254
110,500,1,0.1,0.01021262603611883
111,500,1,0.2,0.02311112525407819
112,500,1,0.3,0.030244841651113973
113,500,1,0.5,0.09030657926582315
114,500,1,0.7,0.17673938330314828
115,500,1,0.8,0.2899397271537203
116,500,1,0.9,0.5675129477618867
117,500,10,0.001,0.0003174454006197942
118,500,10,0.05,0.014052483116439448
119,500,10,0.1,0.02974601816772857
120,500,10,0.2,0.0653547465926523
121,500,10,0.3,0.10335049903842171
122,500,10,0.5,0.21096631573295294
123,500,10,0.7,0.39869792106202434
124,500,10,0.8,0.45943696509317217
125,500,10,0.9,0.7431604230079594
126,500,100,0.001,0.01996697503457064
127,500,100,0.05,1.0117282666241183
128,500,100,0.1,2.139163345168266
129,500,100,0.2,4.914443186529125
130,500,100,0.3,8.449174362184818
131,500,100,0.5,19.24783213387988
132,500,100,0.7,41.027749731415575
133,500,100,0.8,67.29876344989522
134,500,100,0.9,130.32993288525074
135,500,1000,0.001,1.9823401837123344
136,500,1000,0.05,105.03036493475541
137,500,1000,0.1,221.15823650717542
138,500,1000,0.2,499.68530256258265
139,500,1000,0.3,855.3032906442253
140,500,1000,0.5,1977.7622480265823
141,500,1000,0.7,4517.577795360746
142,500,1000,0.8,7726.994087986407
143,500,1000,0.9,16592.746880976476
144,1000,1,0.001,0.0001980507540555907
145,1000,1,0.05,0.010257654426604295
146,1000,1,0.1,0.02256050019723345
147,1000,1,0.2,0.05546809076790395
148,1000,1,0.3,0.09744239254944254
149,1000,1,0.5,0.25326122902461
150,1000,1,0.7,0.6952870013535286
151,1000,1,0.8,0.9442331514251663
152,1000,1,0.9,2.3111346984309504
153,1000,10,0.001,0.0002860327630899507
154,1000,10,0.05,0.015061139971350631
155,1000,10,0.1,0.03288026813688487
156,1000,10,0.2,0.07576636454227184
157,1000,10,0.3,0.14231915517825838
158,1000,10,0.5,0.3612646953109075
159,1000,10,0.7,0.7302803786824229
160,1000,10,0.8,1.2802610838648938
161,1000,10,0.9,2.650795877743929
162,1000,100,0.001,0.010079175842745364
163,1000,100,0.05,0.5492909806503364
164,1000,100,0.1,1.1608467168158083
165,1000,100,0.2,2.611661101744425
166,1000,100,0.3,4.514817647398458
167,1000,100,0.5,10.497707935556916
168,1000,100,0.7,24.820333769663506
169,1000,100,0.8,41.75178290380962
170,1000,100,0.9,84.36099551046053
171,1000,1000,0.001,0.996801558554341
172,1000,1000,0.05,52.60291598790655
173,1000,1000,0.1,110.84574549321856
174,1000,1000,0.2,249.03955540739193
175,1000,1000,0.3,428.35800325358645
176,1000,1000,0.5,1004.7992031216031
177,1000,1000,0.7,2354.246003340866
178,1000,1000,0.8,4014.7028771836626
179,1000,1000,0.9,8827.037055014056
